epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.9213942386141816,0.28442551058764565,1.7531332397460937,0.413
2,1.6133614791812283,0.40471118907405085,1.6527646465301513,0.453
3,1.536994570494445,0.4445558200726726,1.558915668487549,0.504
4,1.448264131867457,0.47926325021927074,1.450807159423828,0.529
5,1.3852273656855607,0.5124671093847889,1.4777900457382203,0.527
6,1.3143082181846657,0.5352712692645032,1.3745228128433227,0.576
7,1.2560945730163944,0.5558200726725974,1.2490891771316528,0.617
8,1.2074180954814988,0.5801278035333918,1.2562339773178102,0.607
9,1.1664756564415273,0.5945370254354091,1.229822093963623,0.618
10,1.1210468483066787,0.61709059015161,1.1877990102767944,0.636
11,1.1021474469142694,0.6190953514597168,1.1410527534484862,0.657
12,1.0777279234906363,0.6289938604184939,1.1467578864097596,0.652
13,1.0589408049262596,0.6383911790502443,1.1223668727874756,0.663
14,1.028428235100021,0.6472873073549681,1.0995851440429687,0.648
15,1.0094641391801709,0.6575617090590151,1.12279642868042,0.658
16,0.9856135697460999,0.6688384914171156,1.0781070489883422,0.684
17,0.9803063231047167,0.6629495050745521,1.1061695222854615,0.678
18,0.9563822705947939,0.6729733116150858,1.1020573654174806,0.667
19,0.9432223040333757,0.6715950382157624,1.0863839988708497,0.669
20,0.9271138775185854,0.6807417616839995,1.1105214467048645,0.663
21,0.9204560595412494,0.6892619972434532,1.082374414920807,0.679
22,0.8940800943405702,0.69314622227791,1.0896846961975097,0.668
23,0.8942213219413929,0.69126675855156,1.0481681222915649,0.685
24,0.8711902097627463,0.7040471118907405,1.0660255970954895,0.681
25,0.8482018194989055,0.706553063525874,1.069883095264435,0.692
26,0.8455134197339544,0.7090590151610074,1.040964406967163,0.7
27,0.8359031533555659,0.7100613958150608,1.0174258351325989,0.696
28,0.8244893471858,0.7189575241197845,1.0746443915367125,0.664
29,0.811129776722894,0.7250971056258614,1.0264992580413819,0.68
30,0.7940705493344593,0.7277283548427516,0.9852802925109864,0.716
31,0.7770940725807258,0.7328655556947751,1.0408370332717896,0.661
32,0.7647832933710177,0.7351209121663952,1.0209073133468627,0.713
33,0.7581959135205865,0.7336173411853151,1.0086632170677186,0.673
34,0.7529602339506418,0.7341185315123419,1.0191497921943664,0.676
35,0.7357308978261303,0.7480265630873324,1.004775564432144,0.703
36,0.7252269875598483,0.7511590026312492,1.0493925895690919,0.702
37,0.7191750701620023,0.7481518606690891,0.9618484654426575,0.717
38,0.7026102395975385,0.7557950131562461,1.0639814357757569,0.687
39,0.706669538096667,0.7557950131562461,1.0681512753963471,0.694
40,0.6916417633213057,0.7635634632251598,0.9641053824424743,0.723
41,0.6770219698524045,0.7648164390427264,0.9795877919197082,0.727
42,0.6986743763505538,0.7585515599548929,0.9854832079410553,0.724
43,0.6620466401367584,0.7722089963663701,1.097820589542389,0.705
44,0.6694998034422984,0.7656935221150232,0.9468397059440613,0.732
45,0.6551066698615465,0.776469114146097,0.906448226928711,0.733
46,0.6395730360784173,0.7773461972183937,0.9886004409790039,0.716
47,0.6323705693860204,0.7803533391805538,0.9632598624229431,0.738
48,0.6382961924878775,0.7794762561082571,1.0085526280403136,0.722
49,0.6279283916871061,0.783736373887984,1.009724516391754,0.706
50,0.6216526360324176,0.7884976819947375,0.9866708419322967,0.735
51,0.5918329571694781,0.7970179175541912,1.0614159791469573,0.715
52,0.5965013565940676,0.7916301215386543,0.9662734642028808,0.706
53,0.5999651821973165,0.7907530384663576,0.9982639591693878,0.731
54,0.5705387770211005,0.8029069038967548,1.0542604422569275,0.702
55,0.5814233081574698,0.7987720836987846,0.9602395751476288,0.732
56,0.5718695843687274,0.8029069038967548,1.0738803298473358,0.719
57,0.570245358127204,0.7987720836987846,0.9677382566928864,0.73
58,0.5636046685202799,0.8042851772960782,1.0140989573001862,0.742
59,0.5592187371652477,0.8044104748778349,1.0115319888591767,0.732
60,0.5491470079488614,0.8100488660568851,0.9158822643756866,0.744
61,0.5591948995418737,0.8039092845508081,0.9846820583343506,0.725
62,0.5509852425800561,0.8067911289312116,1.0076663048267365,0.749
63,0.5367928949674707,0.8146848765818819,0.9980540950298309,0.75
64,0.5139634355673021,0.8183185064528254,0.9972746481895447,0.719
65,0.5234493343114046,0.8188196967798521,0.9939407309293747,0.73
66,0.5229301622018168,0.8185691016163388,0.9587395715713501,0.744
67,0.5124793205325757,0.823079814559579,1.0257785453796386,0.727
68,0.5020690475071362,0.8289688009021426,0.98321435546875,0.751
69,0.5001763172999404,0.8235810048866057,1.0159395804405214,0.712
70,0.4919137726181388,0.831850645282546,0.9978777358531952,0.746
