epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.7114873242369273,0.38441298082947,1.463674030303955,0.528
2,1.4288895687891447,0.5016915173537151,1.5329585800170897,0.47
3,1.3015728495709804,0.5500563839117905,1.4511246070861816,0.517
4,1.2263867863884637,0.5795013156246085,1.2134103507995606,0.588
5,1.1687453743166052,0.5967923819070292,1.1860012922286987,0.625
6,1.1275269277501174,0.6169652925698534,1.2693837723731995,0.608
7,1.084878147940426,0.6177170780603934,1.2810432081222534,0.592
8,1.06842109925047,0.6294950507455206,1.1412467069625853,0.629
9,1.0388338443644736,0.6392682621225411,1.1475757656097412,0.625
10,1.0049464408055746,0.6467861170279413,1.084984998703003,0.671
11,0.9884236977521884,0.6619471244204986,1.1820053443908691,0.633
12,0.9861283497230224,0.6616965292569853,1.2159749097824097,0.639
13,0.9471092549515703,0.6747274777596792,1.0235849046707153,0.698
14,0.9495754937243751,0.6724721212880591,1.0252402362823487,0.679
15,0.9260592096626512,0.677108131813056,1.156613064289093,0.668
16,0.922703655691258,0.6813682495927829,1.3639527378082275,0.558
17,0.8909246342147208,0.6943991980954768,1.4169816279411316,0.558
18,0.8943360933249583,0.6969051497306102,1.1339078602790833,0.641
19,0.8698792831593924,0.7024182433279038,1.0645295605659484,0.7
20,0.8573828817623746,0.7035459215637139,1.0232712454795838,0.705
21,0.8487376717304679,0.7126926450319508,1.6810645017623902,0.478
22,0.8499494301632015,0.7126926450319508,1.0363176119327546,0.7
23,0.8264651519734524,0.722215261245458,1.1269197115898133,0.638
24,0.8208042481439691,0.7150732990853277,1.170714009284973,0.621
25,0.821464568066606,0.7225911539907279,1.0033915004730225,0.702
26,0.8125872083690707,0.7223405588272146,1.0554443588256837,0.695
27,0.7908931455730481,0.7336173411853151,1.0765385580062867,0.691
28,0.78222638317822,0.730234306477885,1.0223818402290343,0.692
29,0.7713084825147828,0.7407593033454455,1.2527830214500428,0.55
30,0.7980151101769458,0.7332414484400451,0.904912335395813,0.734
31,0.7631889019913429,0.7383786492920686,1.6448209018707276,0.53
32,0.7618677154726707,0.7443929332163889,0.9979954471588135,0.71
33,0.7564405560448659,0.7435158501440923,1.0981429142951966,0.676
34,0.740621858477488,0.7515348953765192,0.9787840204238891,0.707
35,0.7272345594722904,0.7569226913920561,1.1093250942230224,0.665
36,0.7361192177104078,0.753915549429896,1.177465189933777,0.637
37,0.7255469607822937,0.7552938228292194,1.0043880019187927,0.699
38,0.7114014328459632,0.7631875704798897,0.9022372770309448,0.735
39,0.713208151735947,0.7596792381907029,1.3053976860046386,0.616
40,0.7005341473624694,0.7643152487156998,0.9220160856246948,0.73
41,0.6903004971621195,0.7668212003508332,1.00846524477005,0.69
42,0.6833588031767425,0.7712066157123167,0.9862696032524109,0.712
43,0.6704136118332017,0.7767197093096103,0.9096948494911193,0.715
44,0.6914255560796193,0.7704548302217767,1.0896344428062439,0.683
45,0.6554681629842422,0.7842375642150107,0.9548659543991089,0.727
46,0.6662325510374064,0.7802280415987971,0.9593830490112305,0.727
47,0.6571377630506209,0.7789750657812304,1.1806007323265075,0.653
48,0.6603432301739496,0.7817316125798772,0.9969917850494385,0.672
49,0.6497649739124978,0.7843628617967673,1.0089171242713928,0.698
50,0.6546334182726173,0.7838616714697406,1.1411685585975646,0.686
51,0.6400030712154691,0.7881217892494675,0.937820152759552,0.718
52,0.6425353746794471,0.7862423255231175,1.171865963459015,0.672
53,0.6448950171918741,0.7847387545420373,1.0606947321891784,0.672
54,0.6221849059732976,0.7950131562460845,1.0840576276779175,0.615
55,0.6288695667168204,0.792507204610951,0.8628307890892029,0.729
56,0.6274280246599712,0.7927577997744644,0.9541589217185974,0.692
57,0.6091428643374676,0.7962661320636512,0.8751366620063782,0.728
58,0.6112615790915003,0.7965167272271645,1.064625009536743,0.687
59,0.6009033133833946,0.8049116652048616,0.9313868103027344,0.736
60,0.6025665128698565,0.8019045232427015,0.9187272963523865,0.732
61,0.6126044432167839,0.7978950006264879,0.9031423468589783,0.721
62,0.589047207492976,0.805538153113645,1.0128202552795411,0.711
63,0.5927827522100744,0.8075429144217516,1.0389228086471558,0.689
64,0.6005840040122548,0.8061646410224282,1.1392511248588562,0.638
65,0.5860489327840945,0.8059140458589149,0.9015243310928345,0.735
66,0.5886487044452829,0.807417616839995,0.8813049411773681,0.72
67,0.5630198979852732,0.8164390427264754,0.9583042588233948,0.697
68,0.5840857450547724,0.8087958902393184,0.9261717734336853,0.712
69,0.5792734098754092,0.8095476757298584,0.8361296396255493,0.732
70,0.5672459282077146,0.8190702919433654,1.0539668974876404,0.663
71,0.5611580817446405,0.8151860669089087,1.0013013701438904,0.715
72,0.5681505903028453,0.8130560080190452,0.8987450184822082,0.691
73,0.5637651006764091,0.814308983836612,0.9249072136878967,0.704
74,0.5625941938004269,0.8144342814183686,0.8703508877754211,0.733
75,0.5543464160760144,0.8174414233805287,0.9076049647331238,0.751
76,0.5628498857697364,0.815436662072422,0.8763637285232544,0.743
77,0.560216197474919,0.8144342814183686,0.8328430018424988,0.727
78,0.5433946995825685,0.8196967798521488,0.9901353816986084,0.7
79,0.551564864273762,0.8128054128555319,0.7910280518531799,0.763
80,0.542871308900288,0.822703921814309,0.8214120092391968,0.757
81,0.5377635902486757,0.8280917178298459,0.8890331950187683,0.735
82,0.5466139595127094,0.8244580879589024,0.8089258952140808,0.744
83,0.5455429901486425,0.8173161257987721,0.8466449131965638,0.736
84,0.5297550785968722,0.8333542162636262,0.9939626029729843,0.692
85,0.546552128271118,0.8186943991980955,0.9101492068767547,0.71
86,0.5438988617362421,0.815436662072422,1.0178390548229217,0.687
87,0.532510893324864,0.8277158250845759,1.007290958881378,0.682
88,0.5339663833951072,0.8277158250845759,0.9389879775047302,0.666
89,0.5213996825877205,0.8312241573737627,0.988802414894104,0.699
90,0.5093550304544404,0.8305976694649794,0.8149701681137085,0.73
91,0.5185155212289184,0.8332289186818694,1.1793785762786866,0.694
92,0.5339409741538611,0.8237063024683624,0.9002135062217712,0.744
93,0.5179516350120669,0.8285929081568726,0.8573558428287507,0.715
94,0.5275912555726963,0.8252098734494424,0.9978237235546112,0.701
95,0.520604252143098,0.8269640395940359,0.9356605110168457,0.686
96,0.5102406546012335,0.8337301090088961,0.8087331230640411,0.742
97,0.5236773851774881,0.8253351710311991,1.098029405117035,0.652
98,0.5248335977870858,0.8254604686129557,0.8889450325965881,0.731
99,0.513121578167919,0.8293446936474126,0.8721818141937255,0.726
100,0.5289500595210803,0.8275905275028193,0.8210238683223724,0.714
101,0.51066584412936,0.8331036211001128,0.9657122223377228,0.734
102,0.5078974497929176,0.8367372509710562,0.7864953565597534,0.747
103,0.5096782381642717,0.8356095727352462,0.8946867158412933,0.745
104,0.49832290104421034,0.8337301090088961,0.9605067057609558,0.727
105,0.5038831729277111,0.8322265380278161,1.0582687146663665,0.681
106,0.4946532038246655,0.838366119533893,0.9707307891845703,0.697
107,0.4948315161792964,0.8391179050244331,0.8401183071136474,0.744
108,0.49215035817330677,0.8407467735872698,0.8756667184829712,0.686
109,0.49959179044680974,0.8352336799899762,0.8066978969573975,0.71
110,0.5056596257333065,0.8336048114271395,1.0474966387748719,0.671
111,0.49712368511732413,0.8396190953514597,0.7769683885574341,0.753
112,0.49070132851914317,0.8413732614960531,0.8585742669105529,0.718
113,0.5022638052451761,0.8322265380278161,0.8213878583908081,0.749
114,0.5041576959094731,0.8308482646284927,0.8241015543937683,0.746
115,0.4800195991134094,0.8406214760055131,0.8439327914714814,0.737
116,0.4988740612101008,0.8358601678987595,0.9380128872394562,0.695
117,0.4892407015531736,0.8396190953514597,0.9542667546272278,0.708
118,0.4885027209307792,0.8412479639142965,0.9425922079086304,0.712
119,0.49256721948893234,0.837990226788623,0.7471382975578308,0.752
120,0.48242507702634235,0.8465104623480767,1.0318958296775818,0.684
121,0.4864278186414642,0.8417491542413231,0.9829688181877136,0.709
