epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6910442711043039,0.40258113018418745,1.5767628135681153,0.487
2,1.394196860399809,0.5201102618719459,1.6280085430145264,0.416
3,1.2834561141029275,0.5483022177671971,1.3764045333862305,0.552
4,1.1989325313785593,0.5833855406590652,1.2155433268547058,0.556
5,1.1438038690901837,0.607567973938103,1.1681052045822145,0.59
6,1.0906395515005267,0.6185941611326902,1.1039314346313476,0.635
7,1.0567378742386264,0.6313745144718707,1.1652262525558472,0.614
8,1.0316006588825322,0.6401453451948378,1.1009487066268921,0.64
9,0.9917529388233438,0.6570605187319885,1.164409790992737,0.607
10,0.9807069767030793,0.6594411727853653,1.3283343181610108,0.562
11,0.9667859822380978,0.6611953389299586,1.1906605443954468,0.585
12,0.9441235536561695,0.6699661696529257,1.348971869468689,0.559
13,0.9315838922520446,0.6718456333792758,1.027654914855957,0.673
14,0.9175002170585925,0.6824959278285929,0.9499205203056336,0.712
15,0.8843927611355913,0.6935221150231801,1.1153586206436157,0.638
16,0.8859800848353254,0.6969051497306102,1.1181357383728028,0.629
17,0.8834876210419789,0.6986593158752036,1.0927928943634033,0.649
18,0.8819431738213569,0.69164265129683,1.0966639070510864,0.653
19,0.853833696684164,0.7029194336549305,1.2057697095870972,0.632
20,0.8292517841437335,0.7126926450319508,0.9701317234039306,0.701
21,0.8217081614468812,0.7091843127427641,1.230880787372589,0.651
22,0.8109529877706751,0.7173286555569478,1.1508122682571411,0.639
23,0.8314586446154104,0.7136950256860043,1.0077112226486207,0.673
24,0.8048253233025597,0.7199599047738379,1.1717105178833007,0.623
25,0.7870422213048568,0.7266006766069415,1.2319133558273316,0.594
26,0.7771922874952555,0.7277283548427516,1.1690695314407349,0.631
27,0.7788184174184676,0.7293572234055883,0.9435432453155518,0.71
28,0.7740136346875568,0.7331161508582884,0.9184457201957703,0.714
29,0.7688972737283997,0.7322390677859917,0.9968261685371399,0.673
30,0.7599038251613468,0.7417616839994988,0.8621005563735962,0.739
