epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.0115776617355836,0.2478386167146974,1.789410991668701,0.397
2,1.6478138970725296,0.40057636887608067,1.6868861808776856,0.452
3,1.517715829324788,0.4471870692895627,1.5698848648071289,0.504
4,1.4275794287042172,0.4875328906152111,1.5013813400268554,0.518
5,1.354500960025135,0.5053251472246586,1.4206596307754518,0.555
6,1.3107793821217257,0.523869189324646,1.3766129360198975,0.563
7,1.2671151543571721,0.5441673975692269,1.461084427833557,0.574
8,1.2328396091454012,0.570479889738128,1.3592532501220702,0.602
9,1.1887064448216702,0.5806289938604184,1.3158534717559816,0.584
10,1.1640223610178597,0.5876456584387921,1.310216329574585,0.604
11,1.1305325002154079,0.6085703545921564,1.2300808362960816,0.628
12,1.1134638224399682,0.6142087457712067,1.2525358448028565,0.621
13,1.090184143052306,0.623981957148227,1.3303710384368896,0.628
14,1.0663211063668925,0.6281167773461972,1.2855970087051392,0.636
15,1.0408374129822193,0.6480390928455081,1.2669524869918822,0.639
16,1.0319881184688713,0.646535521864428,1.201968837738037,0.649
17,1.0042141393049215,0.6550557574238817,1.1948049812316894,0.651
18,0.9960208168275941,0.6571858163137452,1.182556767463684,0.652
19,0.9723283636765647,0.6639518857286054,1.1387819833755493,0.669
20,0.9499441224999063,0.669464979325899,1.1598335247039795,0.668
21,0.9446151471200734,0.6741009898508958,1.1636889228820801,0.673
22,0.913662289978642,0.6860042601177797,1.1823902997970581,0.676
23,0.9143655328744038,0.6794887858664328,1.2911984310150146,0.648
24,0.9032582048186233,0.6917679488785866,1.134564263343811,0.674
25,0.8889724125077649,0.6932715198596667,1.1613406133651734,0.678
26,0.8813028642071054,0.6936474126049367,1.2183061857223512,0.68
27,0.8547059167650256,0.708432527252224,1.2960454893112183,0.653
28,0.8483278685652094,0.7058012780353339,1.1258564486503602,0.689
29,0.8333643056548429,0.7148227039218144,1.1926896805763245,0.669
30,0.8142400238765181,0.7175792507204611,1.1098791198730469,0.701
31,0.803241424237318,0.7238441298082947,1.0695012803077697,0.692
32,0.8005627753546088,0.7257235935346448,1.244412224292755,0.694
33,0.7891870012200874,0.729858413732615,1.0748471050262451,0.697
34,0.7712401127907854,0.7316125798772084,1.2325761404037476,0.69
35,0.7619166870102848,0.7413857912542288,1.123330066204071,0.706
36,0.7566997890648067,0.737125673474502,1.0622252559661864,0.716
37,0.7521194549315466,0.737877458965042,1.1820856246948241,0.713
38,0.737726775465596,0.7437664453076056,1.129361247062683,0.689
39,0.7260603628172311,0.7472747775967924,1.0458919405937195,0.723
40,0.7219284007220979,0.7517854905400326,1.2465385046005248,0.695
41,0.7039907578462468,0.7564215010650295,1.1201179032325745,0.701
42,0.7095151075279036,0.7566720962285428,1.012065167427063,0.727
43,0.6949653639454035,0.7595539406089462,1.0895883226394654,0.714
44,0.6843184712663238,0.7648164390427264,1.1027340059280395,0.702
45,0.6768780158824034,0.7640646535521864,1.0731442039012908,0.711
46,0.6647874797858805,0.7700789374765067,1.0396497659683228,0.709
47,0.6613391073832101,0.7734619721839369,1.11565194439888,0.718
48,0.6445193151090247,0.7743390552562336,1.1210186357498169,0.719
49,0.6472984826769421,0.7799774464352838,1.0361510496139525,0.715
50,0.6343075988167525,0.7798521488535272,1.1427571091651916,0.71
51,0.6292032898704654,0.7793509585265005,1.1130938997268678,0.723
52,0.6227219209846078,0.7831098859792006,1.0593506736755371,0.715
53,0.6138848695685102,0.7834857787244707,0.9891636469364167,0.738
54,0.6065726413820609,0.7901265505575742,1.0517151384353638,0.723
55,0.6008133324685364,0.7920060142839244,1.0413072819709779,0.725
56,0.6056273808874831,0.7868688134319007,1.0184140257835388,0.705
57,0.599760413479796,0.792507204610951,0.9843613872528076,0.728
58,0.5866595312865243,0.8019045232427015,1.0645203657150268,0.719
59,0.5850134343935753,0.7977697030447313,1.012620540857315,0.716
60,0.584191853312857,0.7973938102994612,1.1369222741127014,0.728
61,0.5751974158396982,0.7978950006264879,1.0521102998256684,0.715
62,0.5619947894550688,0.807041724094725,1.1645938556194306,0.698
63,0.5620603155199559,0.8005262498433781,1.0001024746894835,0.726
64,0.5508950299307631,0.8092970805663451,0.9855208058357239,0.737
65,0.5444222172352772,0.8141836862548553,1.0308157947063445,0.727
66,0.5379029044216549,0.8114271394562085,1.0153569159507752,0.744
67,0.5389917975319849,0.8128054128555319,1.082467730998993,0.72
68,0.5449465943777895,0.8124295201102619,1.0431328778266906,0.727
69,0.5222740737720624,0.8174414233805287,1.0462858855724335,0.733
70,0.5256804427158382,0.815060769327152,1.029436154603958,0.731
71,0.5176656328486166,0.8218268387420122,0.9627980670928955,0.726
72,0.5130634478288342,0.8217015411602556,1.0390104682445527,0.724
73,0.5041813248904512,0.8254604686129557,1.0973565664291383,0.717
74,0.49486660123872156,0.8334795138453828,1.0447878589630126,0.734
75,0.48837750831234056,0.8304723718832226,1.0095474679470062,0.722
76,0.48447832765024773,0.8371131437163263,0.9538100035190582,0.756
77,0.4969534793976718,0.8257110637764691,1.0088945951461792,0.732
78,0.4876153447688963,0.8283423129933593,0.9532115261554718,0.74
79,0.47453293229139715,0.8388673098609197,1.0618410745859146,0.736
80,0.46565743571885054,0.8367372509710562,1.0402746469974518,0.732
81,0.48065279139087486,0.8349830848264629,0.9770226957798004,0.745
82,0.4668122826289031,0.837990226788623,1.0162180222272872,0.749
83,0.4549106609371727,0.8366119533892996,1.076264181613922,0.738
84,0.46359088861946773,0.8377396316251097,1.006174800157547,0.739
85,0.46595701510118165,0.8414985590778098,0.9869341115951538,0.743
86,0.4553548040739233,0.8393685001879464,1.024045870900154,0.748
87,0.4523160725798378,0.8418744518230799,0.983256961107254,0.742
88,0.4305336377686717,0.8541536148352337,0.9728624446392059,0.749
89,0.4421272970593195,0.8458839744392933,1.1468572607040406,0.728
90,0.4374709641734784,0.8496429018919934,1.0605613164901733,0.737
91,0.430870245397651,0.8507705801278035,0.9740950043201446,0.76
92,0.4213577811897376,0.8512717704548303,1.0131716873645782,0.73
93,0.42457556047918743,0.8521488535271269,0.96603742146492,0.754
94,0.418457366189119,0.8518982583636135,1.0404820635318757,0.754
95,0.42543618142970774,0.8478887357474001,1.0586697323322296,0.736
96,0.4222256637294704,0.8532765317629369,0.9810396595001221,0.746
97,0.41722311349668506,0.8570354592156372,0.982110452413559,0.734
98,0.40686852220656383,0.8586643277784739,0.9478497602939606,0.745
99,0.407096908991983,0.854028317253477,1.0387354204654693,0.753
100,0.4007062558661187,0.8604184939230672,0.995524100780487,0.744
101,0.40158747931408595,0.8599173035960406,0.9829995999336243,0.753
102,0.3834968266511319,0.8683122415737377,1.0231648762226104,0.753
103,0.3839310403568317,0.8638015286304974,1.0470698182582856,0.754
104,0.38437188385632565,0.8653050996115775,1.0131647143363953,0.744
105,0.3763886098873046,0.8666833730109009,1.0146977467536926,0.748
106,0.3763260122506694,0.8706928956271144,0.9855518708229065,0.757
107,0.3786106812686583,0.869314622227791,1.1235258932113648,0.759
108,0.3782726559046291,0.8649292068663075,0.9583324420452118,0.749
109,0.38328261396562585,0.8649292068663075,1.0557640011310578,0.751
110,0.36215998865304594,0.8706928956271144,0.9837898485660553,0.756
111,0.3768637392428596,0.8724470617717078,0.9942434756755829,0.752
112,0.3684369323882763,0.8680616464102243,1.1026516077518462,0.759
113,0.36110625586971545,0.8737000375892745,0.9864692544937134,0.764
114,0.3619139027496938,0.8716952762811677,1.0060808802843093,0.749
115,0.36513353897102974,0.876581881969678,1.1280191509723663,0.764
116,0.353107858896853,0.875454203733868,1.0581334137916565,0.757
117,0.35295817189879203,0.8783360481142714,1.035979749083519,0.749
118,0.3441902389942427,0.8774589650419747,1.0462011728286744,0.753
119,0.3365030959687306,0.8804661070041349,1.1041838264465331,0.761
120,0.34641309164659584,0.883473248966295,1.0641479279994965,0.751
121,0.33505748919587197,0.883473248966295,1.0893360891342163,0.764
122,0.33755481252468944,0.8815937852399449,1.078083969116211,0.759
123,0.3301230875147179,0.8818443804034583,1.1179229798316956,0.759
