epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.724819297599936,0.38641774213757674,1.586306324005127,0.473
2,1.4194428956145677,0.513594787620599,1.3310554542541504,0.558
3,1.2754233391896448,0.5551935847638141,1.2507604885101318,0.597
4,1.2066160794891312,0.5774965543165017,1.1423920965194703,0.63
5,1.1445463200273287,0.6029319634131062,1.3173836154937744,0.531
6,1.0920537866128297,0.6271143966921439,1.2961936559677123,0.579
7,1.0694218022365376,0.6325021927076807,1.7204884729385377,0.426
8,1.0416979917292755,0.645783736373888,1.2277498683929444,0.584
9,1.0301812686592755,0.6356346322515976,1.2692843117713928,0.565
10,1.0005887183849114,0.6502944493171282,1.3331023921966554,0.555
11,0.9817883640942217,0.6579376018042852,1.0085255150794983,0.677
12,0.9637652198603063,0.6665831349454956,1.1389397649765014,0.634
13,0.944494624706068,0.6739756922691392,1.061426679611206,0.654
14,0.9288512298508464,0.6783611076306227,1.0202951765060424,0.652
15,0.9318987971304533,0.6747274777596792,0.9613960089683533,0.694
16,0.9094084363700065,0.6922691392056133,1.1092740440368651,0.654
17,0.8945311003797202,0.6918932464603433,1.1695353202819825,0.606
18,0.8862409321321698,0.6935221150231801,1.1734979124069214,0.633
19,0.8697489608261703,0.6994111013657437,1.255233141899109,0.611
20,0.8623655490626698,0.6913920561333167,1.1677582378387452,0.601
21,0.8627795288398771,0.7049241949630373,1.3190630073547362,0.553
22,0.854001571713586,0.7061771707806039,1.1485262331962585,0.628
23,0.8367401863784513,0.7125673474501942,0.9447814750671387,0.712
24,0.8140875466999711,0.7207116902643779,1.0284723877906798,0.646
25,0.8125190216562023,0.724094724971808,1.119966160774231,0.645
26,0.8160646796420677,0.7234682370630247,1.0202440900802612,0.665
27,0.8148342570092293,0.7205863926826213,1.120402982711792,0.63
28,0.8040060178780374,0.7257235935346448,1.2250506677627564,0.628
29,0.7923312538205763,0.7252224032076181,0.9333787612915039,0.713
30,0.7777392373708178,0.7359979952386919,1.1117716999053955,0.65
31,0.7710906530723075,0.7381280541285553,1.2628603644371033,0.601
32,0.7485668705588459,0.7452700162886856,1.0136528348922729,0.7
33,0.7585511849781218,0.7393810299461221,0.9914095616340637,0.669
34,0.7510576689994629,0.7430146598170655,0.8842075409889221,0.739
35,0.7467826455402099,0.7406340057636888,1.3890998611450196,0.576
36,0.7440121570164929,0.7471494800150357,1.107311502456665,0.613
37,0.735110727912605,0.7504072171407092,1.0507086534500123,0.66
38,0.721619386061169,0.7577997744643529,0.9834196043014526,0.69
39,0.7315772631729685,0.7556697155744894,1.008163812160492,0.703
40,0.7178022534144342,0.7559203107380028,0.9225499296188354,0.708
41,0.7075054612005582,0.7633128680616464,1.2610706768035889,0.606
42,0.7146534427651307,0.7551685252474627,0.8347505445480347,0.728
43,0.7098346734805717,0.7591780478636763,0.8483413090705871,0.732
44,0.6868427302317278,0.7658188196967799,0.9272682971954346,0.692
45,0.6710776385620504,0.7708307229670467,1.2024614992141724,0.616
46,0.6745025974036368,0.7734619721839369,0.9809067764282227,0.666
47,0.6906561811770013,0.7673223906778599,0.9241067056655884,0.705
48,0.6742864858012289,0.7755920310738003,0.861336377620697,0.751
49,0.6778164335456861,0.76920185440421,0.988535038948059,0.683
50,0.6588124865622855,0.775717328655557,0.9326731858253479,0.704
51,0.6671536097982417,0.7693271519859667,0.9432772049903869,0.704
52,0.6540035510657649,0.7808545295075805,1.1711658992767333,0.621
53,0.6510266879046714,0.779100363362987,1.1093852596282958,0.666
54,0.6458414542601829,0.7858664327778474,0.9195109362602234,0.706
