epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.0267256079961626,0.24282671344443052,1.788143186569214,0.412
2,1.6519509947788384,0.3991980954767573,1.646202049255371,0.478
3,1.5447624112083684,0.44154867811051246,1.599487922668457,0.519
4,1.4741718782516458,0.46360105249968675,1.5442715606689452,0.529
5,1.4310937498374894,0.4881593785239945,1.5077322845458985,0.558
6,1.3973284375770634,0.5021927076807418,1.4500898599624634,0.585
7,1.377104920009192,0.5044480641523619,1.434995216369629,0.588
8,1.3400154344092454,0.5228668086705927,1.389908850669861,0.582
9,1.3103912506407027,0.5328906152111265,1.4387843561172486,0.604
10,1.2729101751609757,0.554441799273274,1.36046604347229,0.613
11,1.2386262763518914,0.5677233429394812,1.3032387323379517,0.632
12,1.226684618408467,0.5599548928705675,1.4000610294342042,0.614
13,1.1917855400979975,0.5749906026813683,1.349502534866333,0.63
14,1.158722979161184,0.6006766069414861,1.2249780759811402,0.646
15,1.1535782410662032,0.594161132690139,1.2844466733932496,0.651
16,1.1340414970952637,0.6065655932840496,1.3575608563423156,0.636
17,1.1116100621094995,0.6046861295576995,1.306171796798706,0.654
18,1.0939511542719955,0.6243578498934971,1.1731030921936034,0.653
19,1.0735890093400595,0.6192206490414734,1.3379141583442689,0.668
20,1.0517433695947895,0.637012905650921,1.211565061569214,0.661
21,1.0397124036095402,0.6400200476130811,1.3602269039154053,0.668
22,1.0362964671979407,0.6358852274151109,1.178627423286438,0.684
23,1.0045437175533614,0.6544292695150984,1.1555223360061646,0.683
24,1.0116222362413156,0.6403959403583511,1.2530068726539612,0.692
25,0.9789742287232036,0.6569352211502318,1.145153100013733,0.686
26,0.9742963970969635,0.6560581380779351,1.04484725522995,0.691
27,0.9604155491832623,0.6643277784738755,1.1652177414894105,0.699
28,0.9503879647269283,0.669840872071169,1.0508365440368652,0.678
29,0.9459458737575893,0.6682120035083323,1.133217113018036,0.695
30,0.9375155129433873,0.6700914672346824,1.2535103311538696,0.686
