epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.0038267630351365,0.2479639142964541,1.8482442016601563,0.409
2,1.6874572736490132,0.37200852023555947,1.694741135597229,0.446
3,1.593337987168602,0.4163638641774214,1.6281803722381591,0.491
4,1.5321383188876454,0.44430522490915925,1.6078841285705567,0.521
5,1.4736471952553785,0.46497932589901014,1.5220906467437745,0.54
6,1.4231677995022638,0.48565342688886104,1.4260550994873047,0.546
7,1.3773918500476545,0.5058263375516853,1.3534532241821289,0.544
8,1.3485375406254863,0.514346573111139,1.3495883293151856,0.57
9,1.3263866622231983,0.530760556321263,1.4234528350830078,0.578
10,1.2919596908027076,0.5441673975692269,1.3101820287704469,0.604
11,1.2654013916777274,0.5539406089462473,1.316143048286438,0.596
12,1.242152152048318,0.5583260243077308,1.3325308980941772,0.588
13,1.2236230761735096,0.5662197719584012,1.2448867139816284,0.623
14,1.2235686733316111,0.5613331662698909,1.308211706161499,0.591
15,1.2097485451422871,0.5673474501942113,1.248761580467224,0.608
16,1.1863251153037537,0.5868938729482521,1.290974434375763,0.613
17,1.168332911362222,0.5840120285678486,1.2355969400405884,0.635
18,1.1541209068980645,0.5905275028191956,1.179895128250122,0.642
19,1.1430093982347853,0.6013030948502693,1.2719988985061645,0.594
20,1.1158838138561202,0.6132063651171532,1.1925078206062316,0.646
21,1.113174152589355,0.607192081192833,1.1860378880500793,0.655
22,1.0946801150521752,0.6120786868813431,1.1638421521186828,0.669
23,1.08912075908691,0.6137075554441799,1.2490864753723145,0.654
24,1.0685691364485732,0.6251096353840371,1.1127554731369018,0.679
25,1.0618949023991087,0.6330033830347074,1.1553904247283935,0.684
26,1.0273760792202646,0.6413983210124045,1.1168393626213073,0.688
27,1.0290528481622907,0.6432777847387545,1.140910222530365,0.686
28,1.0074648151659396,0.6472873073549681,1.0986087379455567,0.703
29,1.0035036268157778,0.6515474251346949,1.1375011014938354,0.684
30,0.9766946204427698,0.661821826838742,1.1904281525611877,0.676
