epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.7204528453131693,0.38742012279163013,1.5951418132781983,0.48
2,1.4519422492830396,0.49191830597669467,1.343260305404663,0.554
3,1.3005123875251974,0.5534394186192206,1.314618740081787,0.63
4,1.220167467818495,0.5782483398070417,1.5674792222976686,0.466
5,1.1646274003658719,0.6039343440671595,1.3477912111282349,0.559
6,1.102956756182055,0.6137075554441799,1.1382202606201173,0.63
7,1.0709587673901346,0.6307480265630874,1.1719760913848878,0.606
8,1.0425617135925829,0.6345069540157875,1.2477486228942871,0.594
9,1.011256844929295,0.6559328404961784,1.0969494524002075,0.639
10,0.9944964446096608,0.6565593284049618,1.1317779684066773,0.648
11,0.9823678910261765,0.660694148602932,1.0013659362792968,0.693
12,0.956185595730226,0.670216764816439,1.1282678899765015,0.641
13,0.9607210341976813,0.6735997995238692,1.4717749829292297,0.512
14,0.92712236963079,0.6826212254103495,1.367172155380249,0.556
15,0.9249478095217973,0.6819947375015663,1.0910176277160644,0.644
16,0.9036100703722073,0.6951509835860168,1.2565194320678712,0.595
17,0.8859185310118689,0.7001628868562837,0.9900626564025878,0.668
18,0.8750075077206968,0.7009146723468237,0.9807696385383606,0.665
19,0.8714823368691723,0.7056759804535773,0.9915689969062805,0.702
20,0.866118752318596,0.6995363989475003,1.0863224906921387,0.69
21,0.8405934595371634,0.7158250845758677,1.1992552795410156,0.614
22,0.8421836983827463,0.7144468111765443,1.0940060667991638,0.632
23,0.834886749508297,0.714948001503571,1.1221374816894532,0.665
24,0.8253663867924868,0.722215261245458,0.8644970037937164,0.736
25,0.8111684375382234,0.7213381781731613,0.94269753074646,0.697
26,0.8208776540496926,0.7207116902643779,0.8787982239723205,0.73
27,0.8002260250266132,0.7284801403332916,1.003792100429535,0.668
28,0.8020999987252956,0.7284801403332916,0.964140350818634,0.705
29,0.7875197596932964,0.7297331161508583,0.9526099338531494,0.707
30,0.7660796326692354,0.7431399573988222,1.1073924813270568,0.655
31,0.7783926372808287,0.7324896629495051,1.0226203708648682,0.654
32,0.7570838423737786,0.7426387670717955,1.0491486020088197,0.685
33,0.7660762171386224,0.745144718706929,1.5763444952964782,0.526
34,0.7482588296396036,0.7490289437413858,0.9450575652122497,0.707
35,0.7505387430530998,0.7471494800150357,0.9319288477897644,0.693
36,0.7497108116766487,0.747400075178549,1.030553931236267,0.705
37,0.737010312414964,0.7505325147224658,0.8766947779655456,0.74
38,0.717335488970694,0.7560456083197594,0.9211658916473389,0.718
39,0.7249360250180982,0.7497807292319258,1.2307886548042297,0.637
40,0.7184431422191401,0.7614334043352964,1.0087212433815003,0.676
41,0.7108180309324811,0.7659441172785365,0.9365059928894043,0.691
42,0.7142178020505974,0.7574238817190828,0.9378634791374206,0.697
43,0.7054855765637382,0.7577997744643529,0.8956082935333252,0.721
44,0.7009453800459162,0.7621851898258364,0.954973159790039,0.691
45,0.6987482122185386,0.7670717955143466,1.0751312017440795,0.689
46,0.685318995501938,0.7762185189825836,0.9361598453521729,0.72
47,0.6877894256067462,0.7705801278035334,1.1090997066497803,0.649
48,0.6908124310079187,0.7705801278035334,0.9781892676353454,0.692
49,0.6626850335822938,0.7743390552562336,0.981987177848816,0.699
