epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.9861377301244207,0.25397819822077433,1.7812146759033203,0.393
2,1.6877204114490696,0.3773963162510964,1.6593300552368164,0.444
3,1.582440644932068,0.4245082069916051,1.5450615139007569,0.504
4,1.486576229837989,0.4573361734118532,1.4466288137435912,0.528
5,1.44253507484665,0.47337426387670717,1.4498221855163573,0.553
6,1.4161061295858377,0.4836486655807543,1.5207665481567383,0.528
7,1.3829517440678796,0.4996867560456083,1.3196690807342528,0.585
8,1.3492643248839211,0.514722465856409,1.3384696140289307,0.572
9,1.3298333337052755,0.5291316877584262,1.2912416515350342,0.595
10,1.2990399074500671,0.5365242450820699,1.2637797174453735,0.596
11,1.2806572010457076,0.5450444806415237,1.2553234796524049,0.6
12,1.2711040288818582,0.5574489412354342,1.2413890371322631,0.594
13,1.2511361368824823,0.5634632251597544,1.2256211729049682,0.611
14,1.2298650647476344,0.5643403082320512,1.2115407800674438,0.631
15,1.2118099213184204,0.5728605437915049,1.1938184680938722,0.633
